id,question_id,user_id,description,created_at
412,10,121,4,"2016-08-13 13:26:46"
413,11,121,5,"2016-08-13 13:26:46"
414,12,121,"Thank you! Interesting survey","2016-08-13 13:26:46"
415,1,103,"00:25 minutes","2016-08-13 14:36:27"
416,2,103,Medium,"2016-08-13 14:36:27"
417,4,103,3,"2016-08-13 14:36:27"
418,5,103,1,"2016-08-13 14:36:27"
419,6,103,4,"2016-08-13 14:36:27"
420,7,103,1,"2016-08-13 14:36:27"
421,12,103,,"2016-08-13 14:36:27"
422,1,150,"00:30 MINUTES ","2016-08-13 16:40:31"
423,2,150,"Very easy","2016-08-13 16:40:31"
424,4,150,5,"2016-08-13 16:40:31"
425,5,150,5,"2016-08-13 16:40:31"
426,6,150,4,"2016-08-13 16:40:31"
427,7,150,4,"2016-08-13 16:40:31"
428,10,150,5,"2016-08-13 16:40:31"
429,11,150,4,"2016-08-13 16:40:31"
430,12,150,,"2016-08-13 16:40:31"
431,1,148,"1 hour","2016-08-13 16:41:49"
432,2,148,Medium,"2016-08-13 16:41:49"
433,4,148,5,"2016-08-13 16:41:49"
434,5,148,1,"2016-08-13 16:41:49"
435,6,148,5,"2016-08-13 16:41:49"
436,7,148,1,"2016-08-13 16:41:49"
437,8,148,4,"2016-08-13 16:41:49"
438,9,148,4,"2016-08-13 16:41:49"
439,12,148,"A2DWPP1KKAY0HG    Great study. The post-survey came late for me. I already submitted my HIT with my mturk ID. Please find my mturk ID at the beginning of this message.","2016-08-13 16:41:49"
440,1,157,00:45,"2016-08-13 19:08:07"
441,2,157,"Very high","2016-08-13 19:08:07"
442,4,157,4,"2016-08-13 19:08:07"
443,5,157,1,"2016-08-13 19:08:07"
444,6,157,4,"2016-08-13 19:08:07"
445,7,157,5,"2016-08-13 19:08:07"
446,8,157,5,"2016-08-13 19:08:07"
447,9,157,3,"2016-08-13 19:08:07"
448,12,157,"This was such an interesting and fun task. Thank you and good luck with your research.","2016-08-13 19:08:07"
449,1,162,00:30,"2016-08-13 19:16:40"
450,2,162,Easy,"2016-08-13 19:16:40"
451,4,162,4,"2016-08-13 19:16:40"
452,5,162,2,"2016-08-13 19:16:40"
453,6,162,4,"2016-08-13 19:16:40"
454,7,162,3,"2016-08-13 19:16:40"
455,10,162,1,"2016-08-13 19:16:40"
456,11,162,1,"2016-08-13 19:16:40"
457,12,162,,"2016-08-13 19:16:40"
458,1,164,"the main task took me about 20 to 30 minutes","2016-08-13 19:20:22"
459,2,164,Medium,"2016-08-13 19:20:22"
